trip_id,start_time,scooter_type,battery_low,user_rating,trip_distance_m,trip_duration_s,trip_aborted
1001,2025-05-10 02:30:08,Model B,FALSE,5,1457,442.67710687913865,TRUE
1002,2025-05-10 02:50:03,Model A,FALSE,3,NA,NA,FALSE
1003,2025-05-10 02:50:57,Model B,FALSE,5,804,142.8494947175623,FALSE
1004,2025-05-10 03:00:19,Model A,FALSE,3,364,98.10659837703784,FALSE
1005,2025-05-10 03:15:10,Model A,FALSE,5,1196,221.098249912389,FALSE
1006,2025-05-10 03:15:18,Model B,FALSE,4,922,154.9919290834639,FALSE
1007,2025-05-10 03:45:07,Model A,FALSE,NA,1721,360.1236505638574,FALSE
1008,2025-05-10 03:55:20,Model B,TRUE,NA,NA,NA,FALSE
1009,2025-05-10 04:00:14,Model A,FALSE,3,2765,591.3161654689891,FALSE
1010,2025-05-10 04:15:14,Model B,FALSE,4,NA,NA,FALSE
1011,2025-05-10 04:20:30,Model B,FALSE,5,1904,746.9305504168577,FALSE
1012,2025-05-10 04:30:30,Model A,FALSE,3,938,334.75554215980503,FALSE
1013,2025-05-10 04:40:12,Model B,TRUE,3,636,228.22636002072372,FALSE
1014,2025-05-10 04:40:59,Model B,TRUE,4,866,230.18831460187033,FALSE
1015,2025-05-10 04:45:19,Model B,FALSE,4,1072,342.63485312291306,TRUE
1016,2025-05-10 04:55:10,Model A,FALSE,2,789,220.01251847352898,FALSE
1017,2025-05-10 04:55:46,Model A,FALSE,5,1490,551.9495899742966,FALSE
1018,2025-05-10 05:05:25,Model A,FALSE,2,443,157.08264658819684,FALSE
1019,2025-05-10 05:15:03,Model A,FALSE,4,1213,270.02788993876965,FALSE
1020,2025-05-10 05:35:52,Model A,FALSE,5,1423,262.19841986587215,FALSE
1021,2025-05-10 05:45:04,Model B,FALSE,4,3891,1039.0360050048573,FALSE
1022,2025-05-10 05:50:01,Model A,FALSE,3,1931,572.1894136748988,FALSE
1023,2025-05-10 05:50:31,Model B,FALSE,5,499,120.87201877398505,FALSE
1024,2025-05-10 06:00:16,Model B,FALSE,5,586,174.57963812169973,FALSE
1025,2025-05-10 06:05:30,Model A,FALSE,NA,1057,250.27178451358645,TRUE
1026,2025-05-10 06:05:31,Model B,FALSE,NA,1473,551.3880782351608,FALSE
